dataset,slice,signal,row_count,positive_count,negative_count,auroc,auprc,auroc_reason,auprc_reason,full_logits_required,rerun_required
HaluEval-QA,overall,semantic_entropy,200,21,179,0.5057196062782655,0.11496111302045545,,,False,False
HaluEval-QA,overall,corpus_risk_only,200,21,179,0.43735035913806863,0.09904252095316715,,,False,False
HaluEval-QA,overall,semantic_energy_boltzmann,200,21,179,,,full_logits_required,full_logits_required,True,True
HaluEval-QA,high_diversity_vs_normal,semantic_entropy,188,9,179,0.8001241464928616,0.12824259704772936,,,False,False
HaluEval-QA,high_diversity_vs_normal,corpus_risk_only,188,9,179,0.41527001862197394,0.04394946526073645,,,False,False
HaluEval-QA,high_diversity_vs_normal,semantic_energy_boltzmann,188,9,179,,,full_logits_required,full_logits_required,True,True
HaluEval-QA,low_diversity_vs_normal,semantic_entropy,191,12,179,0.2849162011173184,0.06282722513089005,,,False,False
HaluEval-QA,low_diversity_vs_normal,corpus_risk_only,191,12,179,0.45391061452513964,0.061724302472786007,,,False,False
HaluEval-QA,low_diversity_vs_normal,semantic_energy_boltzmann,191,12,179,,,full_logits_required,full_logits_required,True,True
HaluEval-QA,zero_se_vs_normal,semantic_entropy,114,12,102,0.5,0.10526315789473684,,,False,False
HaluEval-QA,zero_se_vs_normal,corpus_risk_only,114,12,102,0.4505718954248366,0.1015882645749083,,,False,False
HaluEval-QA,zero_se_vs_normal,semantic_energy_boltzmann,114,12,102,,,full_logits_required,full_logits_required,True,True
HaluEval-dialogue,overall,semantic_entropy,200,188,12,0.5986258865248227,0.9543893604324554,,,False,False
HaluEval-dialogue,overall,corpus_risk_only,200,188,12,0.4621010638297872,0.935572002407269,,,False,False
HaluEval-dialogue,overall,semantic_energy_boltzmann,200,188,12,,,full_logits_required,full_logits_required,True,True
HaluEval-dialogue,high_diversity_vs_normal,semantic_entropy,156,144,12,0.7178819444444444,0.9587861094534835,,,False,False
HaluEval-dialogue,high_diversity_vs_normal,corpus_risk_only,156,144,12,0.46556712962962965,0.9179604395346642,,,False,False
HaluEval-dialogue,high_diversity_vs_normal,semantic_energy_boltzmann,156,144,12,,,full_logits_required,full_logits_required,True,True
HaluEval-dialogue,low_diversity_vs_normal,semantic_entropy,56,44,12,0.20833333333333334,0.7857142857142857,,,False,False
HaluEval-dialogue,low_diversity_vs_normal,corpus_risk_only,56,44,12,0.45075757575757575,0.7695495993368333,,,False,False
HaluEval-dialogue,low_diversity_vs_normal,semantic_energy_boltzmann,56,44,12,,,full_logits_required,full_logits_required,True,True
HaluEval-dialogue,zero_se_vs_normal,semantic_entropy,49,44,5,0.5,0.8979591836734694,,,False,False
HaluEval-dialogue,zero_se_vs_normal,corpus_risk_only,49,44,5,0.509090909090909,0.8996289424860854,,,False,False
HaluEval-dialogue,zero_se_vs_normal,semantic_energy_boltzmann,49,44,5,,,full_logits_required,full_logits_required,True,True
Natural Questions,overall,semantic_entropy,200,114,86,0.6355569155446756,0.6591133439367812,,,False,False
Natural Questions,overall,corpus_risk_only,200,114,86,0.4928090575275398,0.5663803791193448,,,False,False
Natural Questions,overall,semantic_energy_boltzmann,200,114,86,,,full_logits_required,full_logits_required,True,True
Natural Questions,high_diversity_vs_normal,semantic_entropy,189,103,86,0.6891510498983969,0.668630302997991,,,False,False
Natural Questions,high_diversity_vs_normal,corpus_risk_only,189,103,86,0.4992662000451569,0.5445767644246783,,,False,False
Natural Questions,high_diversity_vs_normal,semantic_energy_boltzmann,189,103,86,,,full_logits_required,full_logits_required,True,True
Natural Questions,low_diversity_vs_normal,semantic_entropy,97,11,86,0.13372093023255813,0.1134020618556701,,,False,False
Natural Questions,low_diversity_vs_normal,corpus_risk_only,97,11,86,0.4323467230443975,0.10110978219449758,,,False,False
Natural Questions,low_diversity_vs_normal,semantic_energy_boltzmann,97,11,86,,,full_logits_required,full_logits_required,True,True
Natural Questions,zero_se_vs_normal,semantic_entropy,34,11,23,0.5,0.3235294117647059,,,False,False
Natural Questions,zero_se_vs_normal,corpus_risk_only,34,11,23,0.4090909090909091,0.2870736104359099,,,False,False
Natural Questions,zero_se_vs_normal,semantic_energy_boltzmann,34,11,23,,,full_logits_required,full_logits_required,True,True
TriviaQA,overall,semantic_entropy,200,110,90,0.6686868686868687,0.6574299403932693,,,False,False
TriviaQA,overall,corpus_risk_only,200,110,90,0.5102525252525253,0.5553758751855702,,,False,False
TriviaQA,overall,semantic_energy_boltzmann,200,110,90,,,full_logits_required,full_logits_required,True,True
TriviaQA,high_diversity_vs_normal,semantic_entropy,181,91,90,0.763064713064713,0.6798603675083476,,,False,False
TriviaQA,high_diversity_vs_normal,corpus_risk_only,181,91,90,0.5054334554334554,0.5057461564678466,,,False,False
TriviaQA,high_diversity_vs_normal,semantic_energy_boltzmann,181,91,90,,,full_logits_required,full_logits_required,True,True
TriviaQA,low_diversity_vs_normal,semantic_entropy,109,19,90,0.21666666666666667,0.1743119266055046,,,False,False
TriviaQA,low_diversity_vs_normal,corpus_risk_only,109,19,90,0.5333333333333333,0.18446601941747573,,,False,False
TriviaQA,low_diversity_vs_normal,semantic_energy_boltzmann,109,19,90,,,full_logits_required,full_logits_required,True,True
TriviaQA,zero_se_vs_normal,semantic_entropy,58,19,39,0.5,0.3275862068965517,,,False,False
TriviaQA,zero_se_vs_normal,corpus_risk_only,58,19,39,0.5384615384615384,0.34545454545454546,,,False,False
TriviaQA,zero_se_vs_normal,semantic_energy_boltzmann,58,19,39,,,full_logits_required,full_logits_required,True,True
TruthfulQA,overall,semantic_entropy,200,165,35,0.6190476190476191,0.8727333396753127,,,False,False
TruthfulQA,overall,corpus_risk_only,200,165,35,0.4438095238095238,0.8059873325672232,,,False,False
TruthfulQA,overall,semantic_energy_boltzmann,200,165,35,,,full_logits_required,full_logits_required,True,True
TruthfulQA,high_diversity_vs_normal,semantic_entropy,169,134,35,0.7292110874200426,0.8837761272121389,,,False,False
TruthfulQA,high_diversity_vs_normal,corpus_risk_only,169,134,35,0.4401918976545842,0.7689927009227823,,,False,False
TruthfulQA,high_diversity_vs_normal,semantic_energy_boltzmann,169,134,35,,,full_logits_required,full_logits_required,True,True
TruthfulQA,low_diversity_vs_normal,semantic_entropy,66,31,35,0.14285714285714285,0.4696969696969697,,,False,False
TruthfulQA,low_diversity_vs_normal,corpus_risk_only,66,31,35,0.4594470046082949,0.4555042772713201,,,False,False
TruthfulQA,low_diversity_vs_normal,semantic_energy_boltzmann,66,31,35,,,full_logits_required,full_logits_required,True,True
TruthfulQA,zero_se_vs_normal,semantic_entropy,41,31,10,0.5,0.7560975609756098,,,False,False
TruthfulQA,zero_se_vs_normal,corpus_risk_only,41,31,10,0.4838709677419355,0.7447612907484434,,,False,False
TruthfulQA,zero_se_vs_normal,semantic_energy_boltzmann,41,31,10,,,full_logits_required,full_logits_required,True,True
AGGREGATE,overall,semantic_entropy,1000,598,402,0.6752441804356145,0.7164119594601905,,,False,False
AGGREGATE,overall,corpus_risk_only,1000,598,402,0.4991326810762242,0.6031212043034736,,,False,False
AGGREGATE,overall,semantic_energy_boltzmann,1000,598,402,,,full_logits_required,full_logits_required,True,True
AGGREGATE,high_diversity_vs_normal,semantic_entropy,883,481,402,0.7853378636960726,0.7452148685180748,,,False,False
AGGREGATE,high_diversity_vs_normal,corpus_risk_only,883,481,402,0.503154704647242,0.5521882877562613,,,False,False
AGGREGATE,high_diversity_vs_normal,semantic_energy_boltzmann,883,481,402,,,full_logits_required,full_logits_required,True,True
AGGREGATE,low_diversity_vs_normal,semantic_entropy,519,117,402,0.22263681592039802,0.2254335260115607,,,False,False
AGGREGATE,low_diversity_vs_normal,corpus_risk_only,519,117,402,0.48259769528426244,0.2233106423368814,,,False,False
AGGREGATE,low_diversity_vs_normal,semantic_energy_boltzmann,519,117,402,,,full_logits_required,full_logits_required,True,True
AGGREGATE,zero_se_vs_normal,semantic_entropy,296,117,179,0.5,0.3952702702702703,,,False,False
AGGREGATE,zero_se_vs_normal,corpus_risk_only,296,117,179,0.49651434846965575,0.4000612382395615,,,False,False
AGGREGATE,zero_se_vs_normal,semantic_energy_boltzmann,296,117,179,,,full_logits_required,full_logits_required,True,True
